SnomedCTConceptId,Term
98381000000108,Turkish Cypriot - ethnic category 2001 census
98381000000108,Turkish Cypriot - ethnic category 2001 census
98391000000105,Italian - ethnic category 2001 census
98391000000105,Italian - ethnic category 2001 census
98401000000108,Irish Traveller - ethnic category 2001 census
98401000000108,Irish Traveller - ethnic category 2001 census
98411000000105,Traveller - ethnic category 2001 census
98411000000105,Traveller - ethnic category 2001 census
98421000000104,Gypsy/Romany - ethnic category 2001 census
98421000000104,Gypsy/Romany - ethnic category 2001 census
98431000000102,Polish - ethnic category 2001 census
98431000000102,Polish - ethnic category 2001 census
98441000000106,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census
98441000000106,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census
98451000000109,Commonwealth of (Russian) Independent States - ethnic category 2001 census
98451000000109,Commonwealth of (Russian) Independent States - ethnic category 2001 census
98461000000107,Kosovan - ethnic category 2001 census
98461000000107,Kosovan - ethnic category 2001 census
98471000000100,Albanian - ethnic category 2001 census
98471000000100,Albanian - ethnic category 2001 census
98481000000103,Croatian - ethnic category 2001 census
98481000000103,Croatian - ethnic category 2001 census
98491000000101,Serbian - ethnic category 2001 census
98491000000101,Serbian - ethnic category 2001 census
98501000000107,Other republics which made up the former Yugoslavia - ethnic category 2001 census
98501000000107,Other republics which made up the former Yugoslavia - ethnic category 2001 census
98511000000109,Mixed Irish and other White - ethnic category 2001 census
98511000000109,Mixed Irish and other White - ethnic category 2001 census
98521000000103,Other White European or European unspecified or Mixed European - ethnic category 2001 census
98521000000103,Other White European or European unspecified or Mixed European - ethnic category 2001 census
98531000000101,Other mixed White - ethnic category 2001 census
98531000000101,Other mixed White - ethnic category 2001 census
98541000000105,Other White or White unspecified - ethnic category 2001 census
98541000000105,Other White or White unspecified - ethnic category 2001 census
98651000000107,Indian or British Indian - ethnic category 2001 census
98651000000107,Indian or British Indian - ethnic category 2001 census
98661000000105,Pakistani or British Pakistani - ethnic category 2001 census
98661000000105,Pakistani or British Pakistani - ethnic category 2001 census
98671000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census
98671000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census
98681000000101,Other Asian background - ethnic category 2001 census
98681000000101,Other Asian background - ethnic category 2001 census
98691000000104,Kashmiri - ethnic category 2001 census
98691000000104,Kashmiri - ethnic category 2001 census
98701000000104,East African Asian - ethnic category 2001 census
98701000000104,East African Asian - ethnic category 2001 census
98711000000102,Sri Lankan - ethnic category 2001 census
98711000000102,Sri Lankan - ethnic category 2001 census
98721000000108,Tamil - ethnic category 2001 census
98721000000108,Tamil - ethnic category 2001 census
98731000000105,Sinhalese - ethnic category 2001 census
98731000000105,Sinhalese - ethnic category 2001 census
98751000000103,British Asian - ethnic category 2001 census
98751000000103,British Asian - ethnic category 2001 census
98771000000107,Other Asian or Asian unspecified - ethnic category 2001 census
98771000000107,Other Asian or Asian unspecified - ethnic category 2001 census
98781000000109,Caribbean - ethnic category 2001 census
98781000000109,Caribbean - ethnic category 2001 census
98791000000106,African - ethnic category 2001 census
98791000000106,African - ethnic category 2001 census
98801000000105,Other Black background - ethnic category 2001 census
98801000000105,Other Black background - ethnic category 2001 census
98811000000107,Somali - ethnic category 2001 census
98811000000107,Somali - ethnic category 2001 census
98821000000101,Nigerian - ethnic category 2001 census
